group,topic,date,msg_id,ioc_type,ioc_value,message_text
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 14:24:59,276020,fqdn,t.me,Ответили вам выше: https://t.me/sberdevices_chat/275911
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 14:24:59,276020,telegramHandle,sberdevices_chat,Ответили вам выше: https://t.me/sberdevices_chat/275911
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 14:24:59,276020,url,https://t.me/sberdevices_chat/275911,Ответили вам выше: https://t.me/sberdevices_chat/275911
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 18:15:50,276160,fqdn,t.me,Ответили вам тут: https://t.me/sberdevices_chat/276149
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 18:15:50,276160,telegramHandle,sberdevices_chat,Ответили вам тут: https://t.me/sberdevices_chat/276149
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 18:15:50,276160,url,https://t.me/sberdevices_chat/276149,Ответили вам тут: https://t.me/sberdevices_chat/276149
Устройства Sber с ассистентом Салют,Technologies,2024-03-04 02:48:11,276324,fqdn,sberdevices.ru,"Инструкцию приложили в предыдущем ответе, вот https://sberdevices.ru/help/sberbox/sberbox-troubleshooting/sberbox-reset/?utm_source=tgsupport"
Устройства Sber с ассистентом Салют,Technologies,2024-03-04 02:48:11,276324,url,https://sberdevices.ru/help/sberbox/sberbox-troubleshooting/sberbox-reset/?utm_source=tgsupport,"Инструкцию приложили в предыдущем ответе, вот https://sberdevices.ru/help/sberbox/sberbox-troubleshooting/sberbox-reset/?utm_source=tgsupport"
Устройства Sber с ассистентом Салют,Technologies,2024-03-04 10:33:14,276427,fqdn,activation.sber.ru,"Здравствуйте, купил умную ленту и хотелось бы управлять её состоянием через API-запросы наподобие https://activation.sber.ru:8080/gateway/v1/devices/<device_id>/state. 

Как я понял, это не публичное API и из этого выходит, что нет официального способа это делать?"
Устройства Sber с ассистентом Салют,Technologies,2024-03-04 10:33:14,276427,url,https://activation.sber.ru:8080/gateway/v1/devices/,"Здравствуйте, купил умную ленту и хотелось бы управлять её состоянием через API-запросы наподобие https://activation.sber.ru:8080/gateway/v1/devices/<device_id>/state. 

Как я понял, это не публичное API и из этого выходит, что нет официального способа это делать?"
Устройства Sber с ассистентом Салют,Technologies,2024-03-04 11:20:13,276445,fqdn,google.com,"Здравствуйте. Скажите ассистенту ""Открой браузер"". Внутри браузера можете открыть сайт google.com или любой, который пожелаете"
Устройства Sber с ассистентом Салют,Technologies,2024-03-04 12:19:16,276482,fqdn,www.cnews.ru,https://www.cnews.ru/news/top/2024-03-04_pretsedentkrupnyj_rossijskij
Устройства Sber с ассистентом Салют,Technologies,2024-03-04 12:19:16,276482,url,https://www.cnews.ru/news/top/2024-03-04_pretsedentkrupnyj_rossijskij,https://www.cnews.ru/news/top/2024-03-04_pretsedentkrupnyj_rossijskij
Устройства Sber с ассистентом Салют,Technologies,2024-03-04 12:55:00,276491,fqdn,activation.sber.ru,Здравствуйте. На Android приложение Салют. На iOS сайт activation.sber.ru
Устройства Sber с ассистентом Салют,Technologies,2024-03-05 00:04:26,276730,fqdn,pikabu.ru,https://pikabu.ru/story/s_novoy_proshivkoy_sber_ponizil_razreshenie_svoikh_televizorov_11192268?utm_source=andlinkshare&utm_medium=sharing
Устройства Sber с ассистентом Салют,Technologies,2024-03-05 00:04:26,276730,url,https://pikabu.ru/story/s_novoy_proshivkoy_sber_ponizil_razreshenie_svoikh_televizorov_11192268?utm_source=andlinkshare&utm_medium=sharing,https://pikabu.ru/story/s_novoy_proshivkoy_sber_ponizil_razreshenie_svoikh_televizorov_11192268?utm_source=andlinkshare&utm_medium=sharing
Устройства Sber с ассистентом Салют,Technologies,2024-03-05 03:19:05,276748,fqdn,activation.sber.ru,"Здравствуйте. Проверьте подключение к интернету на ТВ и телефоне, перезагрузите Wi-Fi роутер (если используется). Убедитесь, что приложение Салют обновлено до последней версии. Также попробуйте активировать ТВ через сайт https://activation.sber.ru/"
Устройства Sber с ассистентом Салют,Technologies,2024-03-05 03:19:05,276748,url,https://activation.sber.ru,"Здравствуйте. Проверьте подключение к интернету на ТВ и телефоне, перезагрузите Wi-Fi роутер (если используется). Убедитесь, что приложение Салют обновлено до последней версии. Также попробуйте активировать ТВ через сайт https://activation.sber.ru/"
